model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
9,2016,10498,1,17197.0,0,30,64.2,1.5
13,2013,8995,1,54000.0,0,145,53.3,2.0
5,2015,7895,1,27541.0,4,0,65.7,1.0
6,2018,18390,1,14682.0,4,145,41.5,2.0
12,2018,7795,1,9662.0,4,145,57.7,1.2
6,2017,10795,1,22727.0,4,20,60.1,1.0
6,2019,18298,0,6269.0,0,145,74.3,1.5
0,2015,7698,1,9708.0,0,20,70.6,1.6
13,2017,17698,1,18075.0,0,145,54.3,2.0
13,2017,16998,1,24885.0,0,145,54.3,2.0
1,2018,12698,1,3074.0,4,145,55.4,1.0
5,2016,10698,1,22141.0,0,0,78.5,1.5
13,2013,9998,2,43938.0,0,205,45.6,2.0
13,2017,14498,1,6038.0,0,150,54.3,2.0
5,2017,8998,1,20277.0,4,0,65.7,1.0
1,2017,11998,1,15297.0,0,20,68.9,1.5
6,2019,14000,1,11426.0,4,150,58.9,1.0
2,2019,16250,1,2951.0,4,150,52.3,1.0
5,2017,9700,1,28186.0,4,0,65.7,1.0
13,2013,9998,1,38629.0,4,200,42.8,1.6
9,2017,10998,1,14161.0,0,30,64.2,1.5
8,2016,15498,1,27716.0,0,125,56.5,2.0
0,2013,5489,1,41144.0,0,20,68.9,1.5
13,2019,18999,1,9695.0,0,145,54.3,1.5
5,2016,8449,1,79125.0,4,145,47.9,1.6
1,2016,8699,1,46040.0,0,30,61.4,1.6
1,2017,10489,1,37972.0,0,20,68.9,1.5
13,2017,12489,1,36394.0,0,145,64.2,1.5
13,2017,13698,1,78636.0,0,145,64.2,1.5
6,2018,18498,1,21167.0,0,145,67.3,2.0
0,2015,7298,1,36140.0,0,0,74.4,1.5
6,2017,9998,1,13861.0,4,145,60.1,1.0
13,2017,17498,1,22439.0,0,145,54.3,2.0
18,2017,18999,1,42500.0,0,125,51.4,2.0
2,2017,9489,1,29500.0,4,145,52.3,1.0
3,2017,20994,0,41000.0,0,145,48.7,2.0
1,2018,11998,1,6484.0,0,145,68.9,1.5
5,2014,6250,1,39223.0,4,30,54.3,1.2
5,2014,5950,1,64327.0,0,0,76.4,1.5
6,2017,10900,1,13338.0,0,0,74.3,1.5
6,2017,11200,1,15121.0,4,20,58.9,1.0
6,2017,9250,1,38541.0,4,20,60.1,1.0
5,2018,10300,1,9542.0,4,145,65.7,1.0
1,2019,13000,1,3629.0,4,145,49.6,1.0
6,2016,7000,1,82616.0,0,0,74.3,1.5
5,2015,9200,1,21261.0,4,0,65.7,1.0
18,2019,24995,1,10023.0,0,150,54.3,2.0
5,2016,8298,1,22919.0,4,0,65.7,1.0
1,2017,9298,1,41697.0,0,20,68.9,1.5
6,2019,16698,1,18697.0,4,145,60.1,1.0
6,2019,23698,1,5003.0,0,145,70.6,2.0
6,2019,20398,1,6233.0,0,145,74.3,1.5
5,2016,9698,1,19884.0,4,0,65.7,1.0
13,2018,17998,1,13734.0,4,145,39.2,1.5
5,2019,13698,1,12232.0,4,145,58.9,1.0
6,2016,9998,1,21243.0,4,20,60.1,1.0
5,2016,7298,1,31107.0,4,125,54.3,1.2
6,2013,5698,1,64292.0,0,20,67.3,1.6
13,2014,8998,1,68055.0,0,150,53.3,2.0
5,2018,12998,1,23200.0,4,150,65.7,1.0
14,2016,12498,1,25800.0,0,30,64.2,2.0
21,2019,20990,1,5100.0,0,145,31.7,2.0
21,2019,29999,1,100.0,0,145,30.1,2.0
6,2019,15998,1,4500.0,0,145,80.7,1.5
6,2016,8489,1,61379.0,0,0,74.3,1.5
5,2018,9490,1,3012.0,4,145,55.4,1.1
